date,retail,grocery,parks,transit,workplaces,residential,year,week
2020-12-07,-10.239132681926666,-7.53286356939995,-15.433652905787456,-8.333165464328534,-17.926751713487025,6.706482621199352,2020,50
2020-12-14,-11.940529405532823,-7.2099951192935805,-15.305116384696813,-8.651022079338649,-17.697306035520086,6.6987482762169765,2020,51
2020-12-21,-7.227723543575579,-3.0907469538978383,-16.73983705281166,-2.1856956942990666,-20.162455875211236,6.909439176664108,2020,52
2020-12-28,-16.914643934206975,-4.470528159958854,-11.818374753744603,-14.463254842954056,-41.31816084803093,11.922997342770424,2020,53
2021-01-04,-14.549629047529132,-7.636703899178207,-21.809410695752202,-15.601556562616626,-36.361355479045564,13.015269435144933,2021,1
2021-01-11,-17.50351797429236,-11.184909049684572,-29.63186384901946,-13.088335130294606,-22.43389568979646,9.843838123917307,2021,2
2021-01-18,-14.650353794230217,-11.459420324278613,-15.256579904689149,-10.234429741370437,-21.570344698432223,8.219328625160804,2021,3
2021-01-25,-18.00103111237766,-13.223982555595091,-26.167972582972585,-13.277393573034432,-19.043105436377726,8.279152542163498,2021,4
2021-02-01,-11.983049581911915,-10.612040079524096,-12.438801877340083,-9.404515691088276,-18.13174862960087,6.711031339627139,2021,5
2021-02-08,-12.494910767851753,-8.196900434125377,-12.195905379222944,-10.8051564220504,-18.06831962236478,6.370640458440863,2021,6
2021-02-15,-31.032203040309316,-17.342996133529557,-45.91719971437417,-23.729930873969845,-34.57991115264488,14.23734040137685,2021,7
2021-02-22,-28.65053097353507,-15.005207527006815,-41.34122452121001,-24.114993697363992,-40.49004428472214,15.454738480906073,2021,8
2021-03-01,-5.07957335386159,-7.158089488337067,-15.10197429056503,-1.248558255639153,-16.196841515797107,5.214621584150936,2021,9
2021-03-08,-2.1249863681902115,-3.27932648066825,2.929185461164994,1.4268490591356102,-17.41360947068921,4.371305514699735,2021,10
2021-03-15,0.6985407014324524,-2.0647934872236116,7.709675684154512,8.632355469537178,-21.568703569120803,4.587307973228382,2021,11
2021-03-22,8.331627945338312,0.7170424506076218,16.335354460698223,13.474171441590288,-22.482020495094474,3.785101260612527,2021,12
2021-03-29,4.942350924857315,-0.8663238962156671,13.861255946851582,5.260771172755073,-16.56462674627137,3.2266670732775036,2021,13
2021-04-05,4.187669633882196,2.5996522357773064,14.307516374883747,5.3444757745016584,-22.566528929237297,3.63943022593532,2021,14
2021-04-12,5.414232555214034,1.3580576908463404,21.508886836152588,6.025112129621843,-17.392280052516664,2.890606059286202,2021,15
2021-04-19,0.7788829746176099,-1.9324744990303586,3.945376733332193,3.772928893858992,-17.767044276424535,4.200094274252107,2021,16
2021-04-26,1.1451997759114378,0.5108899367827939,15.65182612051913,5.384909743510375,-16.85492326185119,3.608993555361881,2021,17
2021-05-03,0.3352164455825409,0.038568559335302045,-0.09466729762772129,3.0787146468775326,-16.828695114262427,4.309964726991808,2021,18
2021-05-10,3.4439903267246708,6.506032381768712,18.305850825665438,5.122317026774341,-16.831117033117742,2.384579423415031,2021,19
2021-05-17,-0.8240948744951869,1.9160037869382287,5.509289565545655,5.401518665609358,-17.19721115577692,4.027492463624257,2021,20
