region,year,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Delaware,2021,3.967123287671233,7.023287671232877,52.06943268416596,-21.52180128663331,-21.864383561643837,5.776027397260274
Delaware,2022,3.0355902777777777,5.496527777777778,60.198218262806236,-26.471971066907777,-17.591145833333332,4.372395833333333
District of Columbia,2020,-47.61993769470405,-20.869158878504674,-34.80685358255452,-61.573208722741434,-47.23676012461059,16.305295950155763
District of Columbia,2021,-39.676712328767124,-18.12054794520548,-17.136986301369863,-58.81643835616438,-44.02739726027397,12.09041095890411
District of Columbia,2022,-33.392361111111114,-22.61111111111111,-12.809027777777779,-50.822916666666664,-36.357638888888886,8.510416666666666
Florida,2020,-16.910570508396596,-6.945001151808339,-14.736382252559727,-23.48283895014754,-24.77886487538941,7.655737704918033
Florida,2021,-5.734609153503443,1.3003603512155508,-8.247535472106673,-10.126194267515924,-20.353922302637052,4.77167219327333
Florida,2022,-5.399282878729671,2.8166000773295528,0.08736223365172667,-11.372272143774069,-15.275670234184593,4.183133333333333
Georgia,2020,-7.042184484754921,0.9545615206377882,15.676878466969239,-9.238565806733712,-22.30903197716608,7.348763611006812
Georgia,2021,1.2097941602231401,5.531111988797529,13.553648915187377,2.782230347349177,-18.682602415439554,4.968055810537911
Georgia,2022,-0.33514889057547215,6.14590942293645,23.946986680733218,3.151031636863824,-13.81581915111749,4.184919126848032
Hawaii,2020,-39.246105919003114,-23.781645569620252,-46.45074812967581,-59.75253164556962,-32.62665824384081,12.0234375
Hawaii,2021,-22.643287671232876,-12.755068493150684,-27.820821917808217,-31.85041095890411,-28.0613698630137,7.711232876712328
Hawaii,2022,-18.398611111111112,-9.845138888888888,-16.478472222222223,-13.418055555555556,-25.99513888888889,5.397222222222222
Idaho,2020,-2.7952769886363638,7.095389897008338,71.15352981494173,5.590373961218837,-21.447104788619516,4.979596568513795
Idaho,2021,8.462288686605982,12.251310344827587,73.82587601078167,10.885608856088561,-15.673421732966391,2.4841028918357564
Idaho,2022,7.427895494754166,8.797676008202323,82.75857338820302,6.789752650176679,-11.211614278103356,1.2827794561933534
Illinois,2020,-11.196646341463415,2.956728160607705,42.4459815546772,-11.912275132275132,-23.394988242210463,7.967045201514139
Illinois,2021,2.771278870829769,5.337163186749096,40.730829970170205,-0.38163697301111305,-19.792767690376312,4.71172878500737
Illinois,2022,2.749203551819969,4.2975732465226395,42.37698679203044,1.1027583088401538,-16.025834859525386,3.404451827242525
Indiana,2020,-5.559316770186335,3.7832878208629164,46.26527677929547,-1.5805550009982032,-21.870359479526574,6.736903162779338
Indiana,2021,2.5962794918330308,3.490356977283264,38.574203993524016,8.706687818318443,-18.25792921871173,4.435683202785031
Indiana,2022,1.81200459506031,-2.223737903695931,46.66209198813056,7.481844946025515,-13.680203439841597,3.490142237355154
Iowa,2020,-8.366218368430367,10.42017913593256,63.14166130070831,-6.273983739837399,-19.7112359103039,6.914150695720662
Iowa,2021,8.57270484131711,16.338591285335,55.145270270270274,-2.1614065180102915,-15.862798812901543,3.6224368751059144
Iowa,2022,9.683699594623427,11.892210857592447,67.76497695852535,-6.534475465313029,-12.630253840738748,2.5209396258503403
Kansas,2020,-8.127461021964265,-1.2765459088069957,67.3273381294964,-1.0581688366232676,-20.976454718253724,6.974457608862902
Kansas,2021,2.158901215002641,2.2929445535579394,54.54945054945055,9.861488321564368,-16.827865123097922,3.7795215932460224
Kansas,2022,1.8119143239625168,-0.3083948698017878,55.954385964912284,14.655511811023622,-12.91658621355474,3.010013717421125
Kentucky,2020,-8.341893522864423,4.2371698262869835,35.52879027997887,-4.255238095238095,-24.016530964717493,7.650483202945237
Kentucky,2021,-0.6933848688379166,7.403730491054435,33.40297889946214,6.355864084764341,-20.684958168719497,4.984004127966976
Kentucky,2022,-0.7207556309033665,3.748380335365854,47.42982971227246,2.911517925247902,-14.554272863568215,3.7637367694431663
Louisiana,2020,-11.225473476348622,1.4107872756353297,-8.679330876098668,-13.988334828868094,-23.14627735557968,6.905827024546914
Louisiana,2021,-4.0070399204903095,5.577939018424915,-16.176898590268305,-3.6579569892473116,-21.637916270218838,4.2392455858748
Louisiana,2022,-4.770584538026399,4.09294141999586,-11.232407407407408,-0.4148907103825137,-16.437553204426607,3.6165367877745167
Maine,2020,-4.946532102211724,4.443342424993801,59.003419972640216,-11.215713301171606,-21.84053478008138,6.582356076759062
Maine,2021,12.465736267668635,14.646830530401035,69.95315114333519,2.4926719278466742,-18.650188246848913,4.3560503388189735
Maine,2022,16.196546239491024,18.733259546209187,88.78610460577674,14.406474820143885,-14.263626943005182,3.4454545454545453
Maryland,2020,-12.4713199723566,-1.8520727706531463,46.02354830077602,-27.234375,-28.750514403292183,11.107427869858808
Maryland,2021,-2.6427571728481456,4.086710526315789,43.31608331543912,-26.45284147557328,-24.61442212709911,7.426168224299065
Maryland,2022,-3.2072812683499707,3.44457429048414,49.20785550458716,-28.36982174240522,-20.00444691495275,5.302307330089468
Massachusetts,2020,-18.853681710213777,-6.892226990939437,59.2680412371134,-32.27150127226463,-30.936373507057546,11.414717348927875
Massachusetts,2021,-9.751527924130665,-4.1922023182297155,44.55592870059416,-29.567785527462945,-26.181114258734656,7.459220231822972
Massachusetts,2022,-8.698717948717949,-6.112179487179487,52.192243396857236,-26.945030538589673,-22.19722022525761,5.0889423076923075
Michigan,2020,-9.720722807830418,3.707192518304313,62.94086956521739,-16.999658061207043,-23.796016541480295,7.978109180462444
Michigan,2021,3.6701161029782936,9.677128820960698,60.95128979143798,-2.695841182437328,-15.368305313187204,4.822834645669292
Michigan,2022,6.268202647657841,7.6015690086087195,70.95677233429394,1.5613615455381784,-8.13884618862465,3.4320995072707605
Minnesota,2020,-10.388057489998518,2.9708280485595218,55.012873025160914,-27.763763472181765,-24.125563112799224,9.18903557022369
Minnesota,2021,4.647321730886436,10.888736263736265,48.690226265453695,-24.42578125,-18.405353868720205,5.350955699034712
Minnesota,2022,6.401737797086635,10.462544589774078,55.42195488721804,-19.32315340909091,-13.532719884160867,3.784101902612061
Mississippi,2020,-7.465920155793573,0.40911294231701406,4.92195367573011,-3.570623522995819,-22.193278537036136,6.310187620550588
Mississippi,2021,-1.7160539442083873,1.221698113207547,-7.070318887980376,10.644188937228092,-19.97973431204372,4.467103144789095
Mississippi,2022,-3.193008942050865,0.037824207492795386,-3.4774624373956593,9.55544495321521,-14.077412783295136,4.167481662591687
Missouri,2020,-1.2579375491996851,6.708005249343832,39.59414579228821,-4.231885663638378,-18.468352179788067,5.830581597942421
Missouri,2021,12.107208288584244,9.63942151446214,33.981031690955355,8.889060538766051,-15.072989702819257,3.36019384650062
Missouri,2022,11.66752184718993,8.289214681156448,35.14548641542507,12.382163234929298,-9.886468918111177,3.0033471015524853
Montana,2020,-5.823156225218081,6.106824925816023,53.93887704335466,-2.8813021040095275,-21.567305268464835,5.492748368382886
Montana,2021,10.787621982537237,17.748203900102634,58.32619718309859,21.72021241287753,-16.24223082557288,2.89871944121071
Montana,2022,11.425421530479897,18.30902777777778,78.11498516320475,23.932541366143404,-11.87550471063257,1.4220420199041652
Nebraska,2020,-8.003661662394727,2.7398202009518773,64.33365019011407,7.814446831364124,-19.164985757179153,6.82233368532207
Nebraska,2021,5.645155491641201,6.124445539674716,50.99188790560472,22.36543155092079,-14.548921951834574,3.4385150812064964
Nebraska,2022,6.627620783956244,4.9054897067997505,56.0132701421801,21.881204684885667,-10.091682190005669,2.4145955716222325
Nevada,2020,-10.200066357000663,3.8995250274022655,-11.175962815405047,-4.14125932062966,-25.52303079858272,7.8153526970954355
Nevada,2021,1.1475274725274724,4.089683286296645,-7.650948509485095,15.852019630049075,-20.375526438933083,4.512578616352202
Nevada,2022,-0.4547677261613692,1.169759178839321,-7.654974946313529,14.859851988899168,-14.146880678376741,2.4248704663212437
New Hampshire,2020,-5.265354800238521,4.150324775750077,62.32338308457712,-20.295325779036826,-24.273992461583067,8.675684277530236
New Hampshire,2021,6.256288916562889,12.71709685663174,65.77658536585366,-15.177619893428064,-19.70635118306351,5.5908266390256545
New Hampshire,2022,6.999368686868687,14.18199481865285,83.91812865497076,-22.762724550898202,-16.911931818181817,4.0726018396846255
New Jersey,2020,-21.220993681792073,-2.5566935949221006,55.757962962962964,-28.94512391374316,-32.09869169510808,11.88100028743892
New Jersey,2021,-4.7694894146948945,4.645205479452055,55.177336276674026,-22.48041265858079,-27.250062266500624,7.555043586550436
New Jersey,2022,-4.244160353535354,4.114741161616162,59.337319665907366,-21.698723553068717,-22.42676767676768,4.994002525252525
New Mexico,2020,-17.27023773698465,1.2416062088746416,0.6046373365041617,-9.89508254926327,-27.65717455621302,9.669444444444444
New Mexico,2021,-9.287131230925738,0.6318877916129956,1.1427868045297882,1.3231177250626198,-24.49917201407576,5.804629902683574
New Mexico,2022,-7.588470776621297,-1.414691943127962,9.296179349542154,0.16877405167674547,-18.04054054054054,4.053858967240422
New York,2020,-16.564025768535263,0.5088425844860794,47.83688155922039,-27.213620142743853,-27.274657322477584,9.283174224343675
New York,2021,-3.6091422701592193,3.9820866141732285,47.87131464475592,-19.79846783320275,-24.09438798055678,5.736203559458056
New York,2022,-2.658483456964559,3.8286837670848155,53.03151495760678,-17.44957746478873,-20.304939516129032,3.9196556671449065
North Carolina,2020,-7.733999829103649,2.7507543753771877,26.399749058971143,-14.472391280292133,-22.34452105725681,6.991772335688704
North Carolina,2021,0.06675378010080268,6.831904458837183,23.254534700315457,-8.816486661128035,-18.86515346181299,4.532302431046019
North Carolina,2022,-1.1931930985582604,5.582063333808099,33.46173367169761,-12.131089154411764,-14.708739977506077,3.9676964310904217
North Dakota,2020,-11.0909681611436,-1.2125579001544005,9.353083434099153,-16.22415370539799,-21.603177468857194,7.089285714285714
North Dakota,2021,-4.8872116206209055,-2.6854794520547944,1.7073891625615762,-10.929958127141226,-19.132760699216394,3.3857518056467497
North Dakota,2022,-3.1183108846013834,-2.7375,12.189320388349515,-8.900093808630395,-15.56168582375479,2.335970024979184
Ohio,2020,-7.10677987906857,3.065499561180655,67.73932987634623,-2.3211861667744023,-22.544778865258664,6.950565170489189
Ohio,2021,3.1138922756938965,5.273753602021079,58.5292675452038,10.16875,-18.326953100605756,4.082788671023965
Ohio,2022,2.6546742981738896,1.3848571001047434,57.10710750346466,11.034663068229738,-14.509162873540472,3.113186216876187
Oklahoma,2020,-2.54376484074347,5.827348204461338,10.40894439967768,0.4956418383518225,-21.767220006467607,6.06025641025641
Oklahoma,2021,7.3503329187093,8.202366419382102,4.981388012618297,10.045024763619992,-18.588493003710493,4.189736455676637
Oklahoma,2022,5.6114175399889685,3.251754073017006,9.34074695761645,10.346773044593247,-13.790911164328886,4.243108015304621
Oregon,2020,-8.05685773961476,2.105457025920873,46.504121863799284,-10.060238907849829,-25.19512437810945,7.091013329511251
Oregon,2021,3.5384320122828905,7.21540112051496,50.62986161689731,-4.95075219982969,-21.97340962638842,4.793273444347064
Oregon,2022,4.335714285714285,6.5137350129002884,61.70124640460211,-1.8552560159218383,-16.649839572192512,2.9346859366314617
Pennsylvania,2020,-11.582140686301598,0.7950801045335757,52.27003699136868,-16.026303204208514,-25.251834342837444,8.00243987452074
Pennsylvania,2021,-0.17988376452943383,8.494434227083534,51.61142857142857,-2.0942074610420276,-20.18792030934768,4.992423529411765
Pennsylvania,2022,0.319829171362477,8.707323076923076,61.345571658615135,0.24531312325488633,-15.37570772353381,3.5877930911043494
Rhode Island,2020,-11.044784270890224,-4.482525366403608,69.17304189435337,-40.04587869362364,-29.00211976682565,9.947247706422019
Rhode Island,2021,-2.4027397260273973,0.17994100294985252,82.25579761068165,-36.75,-25.492237442922374,6.298178331735379
Rhode Island,2022,-1.5283564814814814,-3.24797507788162,96.20447906523856,-34.48793565683646,-23.517939814814813,4.363525835866262
South Carolina,2020,-7.629444496840517,1.405163043478261,23.24288385622273,-3.35235931025264,-22.01231527093596,6.673913043478261
South Carolina,2021,2.743493179345552,6.443766142286922,34.66125448641258,10.586285714285713,-19.099572751008782,4.562811720698255
South Carolina,2022,2.16974754410056,7.4127190786179264,52.66129032258065,15.210331007867003,-14.410204081632653,4.257511575214265
South Dakota,2020,-3.9587231700605394,11.167925624636839,105.50438047559449,1.152454780361757,-21.864027759928028,6.8177060619276055
South Dakota,2021,9.54481546572935,21.423022598870055,106.5286129970902,12.85952380952381,-16.916264090177133,3.387304507819687
South Dakota,2022,10.389830508474576,18.423351158645275,122.8706786171575,12.15267175572519,-12.470670783047993,2.5386708122813837
Tennessee,2020,-3.129209307643931,5.328289473684211,33.597797462293514,-5.53880692751764,-20.925150815520965,6.019010873377762
Tennessee,2021,6.356683308456431,10.24344711564552,39.29622781065089,4.5244241283499145,-17.140695067264573,4.4099618755260686
Tennessee,2022,6.54509906152242,11.313959879087662,46.89465687515827,4.039596097118221,-11.308361124344927,3.766854283927455
Texas,2020,-10.118961052548979,-2.5223803954012496,4.120361495275914,-9.13026409707352,-23.48466290916974,8.11965043515788
Texas,2021,-2.356179748466697,1.7679091842682284,1.6898339092631813,4.625172551305255,-21.84343426738741,5.328849980103462
Texas,2022,-3.107764592494428,1.2716422102085234,6.223568202996201,10.128083080917351,-16.574410128524843,4.665315420952125
Utah,2020,-5.733666250520183,6.46277001270648,61.53037974683544,-8.606183476938671,-24.854115611935995,7.102197802197802
Utah,2021,4.701651376146789,2.622817801819523,47.575962187711006,-7.2361466325660695,-20.319937432318614,4.353163361661945
Utah,2022,3.41240453598704,-3.831772784019975,47.378734622144115,-3.064983888292159,-16.79776142287642,2.778468899521531
Vermont,2020,-13.895430849432689,-2.9375852660300135,52.77414330218068,-36.11591072714183,-27.578449905482042,9.732029117379437
Vermont,2021,-1.5223300970873785,5.362680288461538,63.008849557522126,-35.10759844703272,-25.991674925668978,6.894984760321418
Vermont,2022,2.9205033763044814,5.461333333333333,102.09310344827587,-23.71198712791633,-24.157056145675266,5.34058988764045
Virginia,2020,-11.941522115345917,-0.1371692672998643,18.91743772241993,-15.923879914660164,-26.123168867268937,9.324876345650276
Virginia,2021,-4.637606837606838,4.58816736594942,19.316953316953317,-7.966717286762845,-22.0293268008597,6.671184837858072
Virginia,2022,-5.199126034958602,5.289578322124589,16.064700625558533,-12.10383476102794,-17.00447598574752,5.351488346667992
Washington,2020,-12.004393955631764,1.9457064403394908,47.17267794446218,-15.533073346332683,-27.590702741964773,7.803923914343821
Washington,2021,-0.6087709700948213,5.212034067027983,48.99565732333202,-5.946704796568309,-23.373970473970473,5.019269293141276
Washington,2022,0.9932994454713494,4.612672098904187,60.664647862952066,-3.3833775713337757,-18.45877357559001,3.0965018094089265
West Virginia,2020,-8.862460281434407,0.949551222531724,3.080657206870799,-2.5801038753495806,-22.639551192145863,6.991548042704626
West Virginia,2021,-1.7199149539333807,7.014301582893641,-6.728055077452668,6.9813664596273295,-19.33836331979106,4.658388520971302
West Virginia,2022,-1.393819619116062,6.021238938053098,7.02177068214804,22.618479221927497,-15.002298284494788,3.685342584562012
Wisconsin,2020,-9.416536978144665,3.2401033973412114,54.287864534336784,-9.474112033928256,-21.139455455070234,7.921004842615012
Wisconsin,2021,3.219490626105412,12.227361607443868,47.92901953755153,-1.8927058111380146,-16.24808619223136,4.275243578387954
Wisconsin,2022,5.427709069493522,13.467624653739612,50.45066100094429,2.72823482428115,-12.273933844333555,3.114621755167374
Wyoming,2020,-4.856627842484747,7.597560975609756,43.753926701570684,9.040119985001875,-20.471475637246403,5.217005076142132
Wyoming,2021,2.524009900990099,0.5854355069014755,47.2590799031477,19.420250076242755,-20.131973945058057,2.6559516231699556
Wyoming,2022,4.73222674600689,-2.4165159734779986,60.24167561761547,10.678682170542636,-17.501351107908484,1.225585149313963
