year,forecast,yhat_lower,yhat_upper,region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2021,23905000.0,,,Northeast,-9.751527924130665,-4.192202318229716,44.55592870059416,-29.567785527462945,-26.181114258734656,7.459220231822972
2021,23905000.0,,,Northeast,6.256288916562889,12.71709685663174,65.77658536585366,-15.177619893428064,-19.70635118306351,5.590826639025655
2021,23905000.0,,,Northeast,-4.769489414694895,4.645205479452055,55.177336276674026,-22.48041265858079,-27.250062266500624,7.555043586550436
2021,23905000.0,,,Northeast,-3.6091422701592193,3.982086614173229,47.87131464475592,-19.79846783320275,-24.09438798055678,5.736203559458056
2021,23905000.0,,,Northeast,-0.1798837645294338,8.494434227083534,51.61142857142857,-2.094207461042028,-20.18792030934768,4.992423529411765
2021,23905000.0,,,Northeast,-2.4027397260273973,0.1799410029498525,82.25579761068165,-36.75,-25.492237442922374,6.298178331735379
2021,23905000.0,,,Northeast,-1.5223300970873783,5.362680288461538,63.008849557522126,-35.10759844703272,-25.991674925668978,6.894984760321418
2022,25143000.0,,,Northeast,-2.883487654320988,0.8838734567901234,54.96562935438922,-7.384731290808639,-17.005787037037038,4.360339506172839
2022,25143000.0,,,Northeast,16.196546239491024,18.733259546209187,88.78610460577674,14.406474820143885,-14.263626943005182,3.4454545454545453
2022,25143000.0,,,Northeast,-8.698717948717949,-6.112179487179487,52.19224339685724,-26.945030538589677,-22.19722022525761,5.088942307692308
2022,25143000.0,,,Northeast,6.999368686868687,14.18199481865285,83.91812865497076,-22.7627245508982,-16.911931818181817,4.0726018396846255
2022,25143000.0,,,Northeast,-4.244160353535354,4.114741161616162,59.337319665907366,-21.69872355306872,-22.42676767676768,4.994002525252525
2022,25143000.0,,,Northeast,-2.658483456964559,3.828683767084816,53.03151495760678,-17.44957746478873,-20.304939516129032,3.9196556671449065
2022,25143000.0,,,Northeast,0.319829171362477,8.707323076923076,61.345571658615135,0.2453131232548863,-15.37570772353381,3.5877930911043494
2022,25143000.0,,,Northeast,-1.5283564814814814,-3.24797507788162,96.20447906523856,-34.48793565683646,-23.517939814814813,4.363525835866262
2022,25143000.0,,,Northeast,2.920503376304481,5.461333333333333,102.09310344827588,-23.71198712791633,-24.157056145675263,5.34058988764045
2023,31484606.520262707,29614232.03045318,33450481.045671843,Northeast,,,,,,
2024,29662803.01402377,27796757.196565486,31483014.79634924,Northeast,,,,,,
2025,31253300.558548637,29321768.60637828,33201044.05237715,Northeast,,,,,,
2016,53485000.0,,,South,,,,,,
2017,59389000.0,,,South,,,,,,
2018,54568000.0,,,South,,,,,,
2019,65720000.0,,,South,,,,,,
2020,49819000.0,,,South,-7.649282518129918,2.11787072243346,17.88509231193166,-5.911039161270429,-21.393215430758094,6.1330068184000766
2020,49819000.0,,,South,-4.931446351500552,3.944862736012973,48.19208745445081,-4.496545454545455,-20.36942775845716,5.91712789827973
2020,49819000.0,,,South,-8.172118380062305,-0.8177570093457944,46.76552462526767,-20.760309278350515,-26.157320872274145,8.813084112149532
2020,49819000.0,,,South,-47.61993769470405,-20.869158878504678,-34.80685358255452,-61.57320872274144,-47.23676012461059,16.305295950155763
2020,49819000.0,,,South,-16.910570508396596,-6.945001151808339,-14.736382252559729,-23.48283895014754,-24.77886487538941,7.655737704918033
2020,49819000.0,,,South,-7.042184484754921,0.9545615206377882,15.67687846696924,-9.238565806733712,-22.30903197716608,7.348763611006812
2020,49819000.0,,,South,-8.341893522864423,4.237169826286984,35.52879027997887,-4.255238095238095,-24.016530964717493,7.650483202945237
2020,49819000.0,,,South,-11.225473476348622,1.4107872756353297,-8.679330876098668,-13.988334828868094,-23.14627735557968,6.905827024546914
2020,49819000.0,,,South,-12.4713199723566,-1.8520727706531463,46.02354830077602,-27.234375,-28.750514403292183,11.107427869858808
2020,49819000.0,,,South,-7.465920155793573,0.409112942317014,4.92195367573011,-3.570623522995819,-22.193278537036136,6.310187620550588
2020,49819000.0,,,South,-7.733999829103649,2.750754375377188,26.399749058971143,-14.472391280292133,-22.34452105725681,6.991772335688704
2020,49819000.0,,,South,-2.54376484074347,5.827348204461338,10.40894439967768,0.4956418383518225,-21.767220006467607,6.06025641025641
2020,49819000.0,,,South,-7.629444496840517,1.405163043478261,23.24288385622273,-3.35235931025264,-22.01231527093596,6.673913043478261
2020,49819000.0,,,South,-3.129209307643931,5.328289473684211,33.597797462293514,-5.53880692751764,-20.925150815520965,6.019010873377762
2020,49819000.0,,,South,-10.11896105254898,-2.5223803954012496,4.120361495275914,-9.13026409707352,-23.48466290916974,8.11965043515788
2020,49819000.0,,,South,-11.941522115345917,-0.1371692672998643,18.91743772241993,-15.923879914660164,-26.123168867268937,9.324876345650276
2020,49819000.0,,,South,-8.862460281434407,0.949551222531724,3.080657206870799,-2.5801038753495806,-22.639551192145863,6.991548042704626
2021,53418000.0,,,South,-0.2553956834532374,6.667502031969656,7.881791787639983,1.6504294321240869,-17.217578629900906,4.351892310945098
2021,53418000.0,,,South,3.0367155542252817,5.858927945813383,44.64891846921797,5.969345616264294,-17.619946091644206,4.16936460742209
2021,53418000.0,,,South,3.967123287671233,7.023287671232877,52.06943268416596,-21.52180128663331,-21.86438356164384,5.776027397260274
2021,53418000.0,,,South,-39.67671232876712,-18.12054794520548,-17.136986301369863,-58.81643835616438,-44.02739726027397,12.09041095890411
2021,53418000.0,,,South,-5.734609153503443,1.3003603512155508,-8.247535472106673,-10.126194267515924,-20.35392230263705,4.77167219327333
2021,53418000.0,,,South,1.20979416022314,5.531111988797529,13.553648915187376,2.782230347349177,-18.682602415439558,4.968055810537911
2021,53418000.0,,,South,-0.6933848688379166,7.403730491054435,33.40297889946214,6.355864084764341,-20.684958168719497,4.984004127966976
2021,53418000.0,,,South,-4.0070399204903095,5.577939018424915,-16.176898590268305,-3.657956989247312,-21.63791627021884,4.2392455858748
2021,53418000.0,,,South,-2.6427571728481456,4.086710526315789,43.31608331543912,-26.45284147557328,-24.61442212709911,7.426168224299065
2021,53418000.0,,,South,-1.7160539442083873,1.221698113207547,-7.070318887980376,10.644188937228092,-19.97973431204372,4.467103144789095
2021,53418000.0,,,South,0.0667537801008026,6.831904458837183,23.254534700315457,-8.816486661128035,-18.86515346181299,4.532302431046019
2021,53418000.0,,,South,7.3503329187093,8.202366419382102,4.981388012618297,10.045024763619992,-18.588493003710493,4.189736455676637
2021,53418000.0,,,South,2.743493179345552,6.443766142286922,34.66125448641258,10.586285714285712,-19.099572751008782,4.562811720698255
2021,53418000.0,,,South,6.356683308456431,10.24344711564552,39.29622781065089,4.5244241283499145,-17.140695067264573,4.4099618755260686
2021,53418000.0,,,South,-2.356179748466697,1.7679091842682284,1.689833909263181,4.625172551305255,-21.84343426738741,5.328849980103462
2021,53418000.0,,,South,-4.637606837606838,4.58816736594942,19.31695331695332,-7.966717286762845,-22.0293268008597,6.671184837858072
2021,53418000.0,,,South,-1.719914953933381,7.014301582893641,-6.728055077452668,6.9813664596273295,-19.33836331979106,4.658388520971302
2022,61812000.0,,,South,-0.6705882352941176,6.4981930820857,22.06702735196874,2.6112042938611206,-11.385846120242451,4.009201911166166
2022,61812000.0,,,South,2.7380714464151885,4.223949082297217,57.1108635097493,10.02808988764045,-11.678926991150442,3.745343341673617
2022,61812000.0,,,South,3.0355902777777777,5.496527777777778,60.19821826280624,-26.471971066907777,-17.591145833333332,4.372395833333333
2022,61812000.0,,,South,-33.392361111111114,-22.61111111111111,-12.80902777777778,-50.82291666666666,-36.357638888888886,8.510416666666666
2022,61812000.0,,,South,-5.399282878729671,2.8166000773295528,0.0873622336517266,-11.372272143774069,-15.275670234184592,4.183133333333333
2022,61812000.0,,,South,-0.3351488905754721,6.14590942293645,23.946986680733215,3.151031636863824,-13.81581915111749,4.184919126848032
2022,61812000.0,,,South,-0.7207556309033665,3.748380335365854,47.42982971227246,2.911517925247902,-14.554272863568215,3.7637367694431663
2022,61812000.0,,,South,-4.770584538026399,4.09294141999586,-11.232407407407408,-0.4148907103825137,-16.437553204426607,3.6165367877745167
2022,61812000.0,,,South,-3.2072812683499707,3.44457429048414,49.20785550458716,-28.36982174240522,-20.00444691495275,5.302307330089468
2022,61812000.0,,,South,-3.193008942050865,0.0378242074927953,-3.4774624373956597,9.55544495321521,-14.077412783295136,4.167481662591687
2022,61812000.0,,,South,-1.1931930985582604,5.582063333808099,33.46173367169761,-12.131089154411764,-14.708739977506076,3.9676964310904217
2022,61812000.0,,,South,5.6114175399889685,3.251754073017006,9.34074695761645,10.346773044593249,-13.790911164328886,4.243108015304621
2022,61812000.0,,,South,2.16974754410056,7.4127190786179264,52.66129032258065,15.210331007867005,-14.410204081632653,4.257511575214265
2022,61812000.0,,,South,6.54509906152242,11.313959879087662,46.89465687515827,4.039596097118221,-11.308361124344929,3.766854283927455
2022,61812000.0,,,South,-3.107764592494428,1.2716422102085234,6.223568202996201,10.128083080917351,-16.574410128524843,4.665315420952125
2022,61812000.0,,,South,-5.199126034958602,5.289578322124589,16.064700625558533,-12.10383476102794,-17.00447598574752,5.351488346667992
2022,61812000.0,,,South,-1.393819619116062,6.021238938053098,7.02177068214804,22.618479221927497,-15.002298284494788,3.685342584562012
2023,40869504.58335869,34789418.268377475,46787560.94511119,South,,,,,,
2024,52866093.44252691,47240041.221003376,58677394.4081367,South,,,,,,
2025,49698456.45158486,43820864.63542008,56169688.20301048,South,,,,,,
2016,36165000.0,,,West,,,,,,
2017,24277000.0,,,West,,,,,,
2018,27626000.0,,,West,,,,,,
2019,32120000.0,,,West,,,,,,
2020,31509000.0,,,West,-1.8613333333333333,3.65,52.89708141321045,-22.098138747884946,-21.110112359550563,6.975502512562814
